Company Name|Stock Name|Filing Time|New Product|Product Description
INTEL CORP|INTC|2024-10-31 00:00:00+00:00|Intel Core Ultra 200S processors|Intel launched the new Intel Core Ultra 200S processors, code-named Arrow Lake, scaling AI PC capabilities to desktop platforms and introducing the first enthusiast desktop AI PCs.
ELI LILLY & Co|LLY|2024-10-30 00:00:00+00:00|Zepbound|Launch of 2.5 mg and 5 mg single-dose Zepbound vials in the U.S. exclusively through LillyDirect to expand supply and increase access.
AbbVie Inc.|ABBV|2024-10-30 00:00:00+00:00|Botox Cosmetic|Allergan Aesthetics announced the launch of Botox Cosmetic for the treatment of masseter muscle prominence (MMP) in China, expanding its use in the lower face.
ADVANCED MICRO DEVICES INC|AMD|2024-10-29 00:00:00+00:00|Ryzen AI PRO 300 Series mobile processors|New Ryzen AI PRO 300 Series mobile processors for next-gen AI PCs in the enterprise, offering 50+ AI TOPS and high performance.
Aon plc|AON|2024-10-25 00:00:00+00:00|Radford McLagan compensation database|Advanced data and analytics capabilities for Human Capital clients with the launch of an integrated compensation database.
INTERNATIONAL BUSINESS MACHINES CORP|IBM|2024-10-24 00:00:00+00:00|watsonx Code Assistant for Z|New generative AI product with advanced features for enterprise java applications announced, driving customer interest and growth.
THERMO FISHER SCIENTIFIC INC.|TMO|2024-10-23 00:00:00+00:00|Thermo Scientific Iliad scanning transmission electron microscope, Applied Biosystems MagMAX Sequential DNA/RNA kit, Invitrogen Vivofectamine Delivery Solutions|Launched groundbreaking new products including a scanning transmission electron microscope, a DNA/RNA kit for cancer research, and a nucleic acid delivery solution for therapeutic 
BOSTON SCIENTIFIC CORP|BSX|2024-10-23 00:00:00+00:00|ACURATE Prime™ Aortic Valve System|Next-generation transcatheter aortic valve replacement technology for severe aortic stenosis, expanding treatment range to patients with larger anatomy.
VERIZON COMMUNICATIONS INC|VZ|2024-10-22 00:00:00+00:00|myPlan, myHome, Verizon Business Complete|Verizon has launched new products - myPlan, myHome, and Verizon Business Complete, which are resonating with customers and contributing to the company's growth strategy.
Elevance Health, Inc.|ELV|2024-10-17 00:00:00+00:00|CarelonRx|Growth in CarelonRx product revenue was driven by the acquisition of Paragon Healthcare and increases in external members served.
ABBOTT LABORATORIES|ABT|2024-10-16 00:00:00+00:00|Lingo™|Abbott's first continuous glucose monitoring system available without a prescription, designed for improving overall health and wellness.
JOHNSON & JOHNSON|JNJ|2024-10-15 00:00:00+00:00|VELYS Spine and Shockwave E8 IVL Catheter|Johnson & Johnson launched VELYS Spine and Shockwave E8 IVL Catheter, further strengthening their confidence in near-and long-term growth targets.
Palo Alto Networks Inc|PANW|2024-09-04 00:00:00+00:00|Palo Alto Networks Precision AI-powered Cortex XSIAM|AI-powered security solution for threat prevention and simplifying security operations.
CATERPILLAR INC|CAT|2024-09-04 00:00:00+00:00|Caterpillar|Confidential Green
Medtronic plc|MDT|2024-08-20 00:00:00+00:00|Percept™ RC deep brain stimulator|Continued launch driving mid-teens growth in Brain Modulation segment.
GILEAD SCIENCES, INC.|GILD|2024-08-08 00:00:00+00:00|Seladelpar|Gilead plans to potentially launch seladelpar for primary biliary cholangitis in the United States.
ELI LILLY & Co|LLY|2024-08-08 00:00:00+00:00|Zepbound|The company plans to launch Zepbound 2.5 mg and 5 mg single-dose vials in the coming weeks in the U.S.
Uber Technologies, Inc|UBER|2024-08-06 00:00:00+00:00|Uber One and Uber One for Students|Launched Uber One, a cross-platform membership program in Guatemala, El Salvador, and Panama, now available in 28 countries. Also introduced Uber One for Students at $4.99 a month,
Zoetis Inc.|ZTS|2024-08-06 00:00:00+00:00|Vetscan Opticell™|A new premium point-of-care hematology analyzer, set to launch in the second half of 2024, offering significant time, cost, and space savings for veterinary healthcare teams with i
Apple Inc.|AAPL|2024-08-01 00:00:00+00:00|Apple Intelligence|A breakthrough personal intelligence system that puts powerful, private generative AI models at the core of iPhone, iPad, and Mac, announced at the Worldwide Developers Conference.
VERTEX PHARMACEUTICALS INC / MA|VRTX|2024-08-01 00:00:00+00:00|CASGEVY|Global launch of CASGEVY announced in the second quarter of 2024, part of Vertex's focus on commercial execution in CF.
INTEL CORP|INTC|2024-08-01 00:00:00+00:00|Intel 18A|Intel plans to launch Intel 18A next year to regain process technology leadership, aiming to strengthen its market position, improve profitability, and create shareholder value.
REGENERON PHARMACEUTICALS, INC.|REGN|2024-08-01 00:00:00+00:00|EYLEA HD|A new product launch by the Company resulted in increased commercialization-related expenses in the second quarter of 2024.
QUALCOMM INC/DE|QCOM|2024-07-31 00:00:00+00:00|Snapdragon X Series solutions for PCs|Qualcomm announced the launch of Snapdragon X Series solutions for PCs, offering leading performance, power efficiency, and personalized AI experiences, marking a significant miles
ADVANCED MICRO DEVICES INC|AMD|2024-07-30 00:00:00+00:00|AMD Radeon™ PRO W7900 Dual Slot GPU|AMD launched the Radeon™ PRO W7900 Dual Slot GPU for high-performance AI workstations, enhancing AI development capabilities.
Arista Networks, Inc.|ANET|2024-07-30 00:00:00+00:00|Arista MSS (Multi-Domain Segmentation Service)|Arista announced a significant update to its Arista MSS offerings for creating a zero trust network without endpoint software agents, reducing security breach impact.
MORGAN STANLEY|MS|2024-07-30 00:00:00+00:00|TBD|TBD
ECOLAB INC.|ECL|2024-07-30 00:00:00+00:00|One Ecolab initiative|Ecolab is launching the One Ecolab initiative to utilize digital technologies and global service capabilities, aiming to deliver superior customer value and drive operational perfo
Merck & Co., Inc.|MRK|2024-07-30 00:00:00+00:00|WINREVAIR|Successful Initial Launch of WINREVAIR in the U.S.; Received Positive EU CHMP Opinion for Adults With PAH
BRISTOL MYERS SQUIBB CO|BMY|2024-07-26 00:00:00+00:00|KarXT|Anticipated U.S. launch of KarXT, focusing on prioritizing opportunities with growth potential and impact for patients.
INTERNATIONAL BUSINESS MACHINES CORP|IBM|2024-07-25 00:00:00+00:00|InstructLab|A tool for more rapid model tuning through synthetic data generation, allowing clients to efficiently customize models using their own data and expertise.
BOSTON SCIENTIFIC CORP|BSX|2024-07-24 00:00:00+00:00|AGENT™ Drug-Coated Balloon|Initiated the U.S. launch of AGENT™ Drug-Coated Balloon to treat in-stent restenosis in patients with coronary artery disease.
ServiceNow, Inc.|NOW|2024-07-24 00:00:00+00:00|RaptorDB Lighthouse program|ServiceNow launched the RaptorDB Lighthouse program to assist customers in quickly ingesting and analyzing data at massive scale for new AI use cases.
THERMO FISHER SCIENTIFIC INC.|TMO|2024-07-24 00:00:00+00:00|Thermo Scientific™ Stellar™ mass spectrometer, Thermo Scientific Orbitrap™ Astral™ mass spectrometer, Thermo Scientific Orbitrap Ascend Tribrid™ mass spectrometer editions|Launched a range of high-impact, innovative new products including mass spectrometers and a biobased film to support sustainability goals.
LOCKHEED MARTIN CORP|LMT|2024-07-19 00:00:00+00:00|F-35 TR-3|Deliveries of the first Technology Refresh-3 (TR-3) configured F-35 aircraft have begun, with a phased approach to provide initial training and combat capabilities by August 2024.
ABBOTT LABORATORIES|ABT|2024-07-18 00:00:00+00:00|Amplatzer Amulet, Navitor, TriClip, AVEIR|Recent product launches and new indications contributed to strong sales growth in Diabetes Care, Electrophysiology, and Structural Heart segments.
Elevance Health, Inc.|ELV|2024-07-17 00:00:00+00:00|CarelonRx|Growth in CarelonRx product revenue related to external members served and the acquisition of Paragon Healthcare in the first quarter.
JOHNSON & JOHNSON|JNJ|2024-07-17 00:00:00+00:00|ACUVUE OASYS MAX 1-Day contact lenses and VARIPULSE platform|Johnson & Johnson announced the continued expansion of newly launched products, including ACUVUE OASYS MAX 1-Day contact lenses and their VARIPULSE platform, strengthening their fo
NVIDIA CORP|NVDA|2024-05-22 00:00:00+00:00|NVIDIA AI Enterprise 5.0|Launched NVIDIA AI Enterprise 5.0 with NVIDIA NIM inference microservices to speed enterprise app development.
Airbnb, Inc.|ABNB|2024-05-08 00:00:00+00:00|Icons|Airbnb introduced Icons, a new category of extraordinary experiences hosted by renowned figures in various fields like music, film, television, art, sports, and more. This expansio
Arista Networks, Inc.|ANET|2024-05-07 00:00:00+00:00|Arista CloudVision Universal Network Observability (CV UNO)|Arista introduces CloudVision Universal Network Observability (CV UNO), a software offering merging network infrastructure performance and data from compute and server systems to d
MOODYS CORP /DE/|MCO|2024-05-06 00:00:00+00:00|Approved Borrower Portal|A new portal for borrowers has been approved, providing a platform for borrower interactions or services.
VERTEX PHARMACEUTICALS INC / MA|VRTX|2024-05-06 00:00:00+00:00|CASGEVY™|Global launch of CASGEVY, part of Vertex's strong start to 2024, showcasing outstanding execution and growth in product revenue.
Apple Inc.|AAPL|2024-05-02 00:00:00+00:00|Apple Vision Pro|Apple Vision Pro was launched to showcase the potential of spatial computing, unlocking new possibilities for users.
QUALCOMM INC/DE|QCOM|2024-05-01 00:00:00+00:00|Snapdragon X platforms|Qualcomm is preparing for upcoming launches with their Snapdragon X platforms, aiming to bring new advancements in mobile technology.
NORTHROP GRUMMAN CORP /DE/|NOC|2024-04-25 00:00:00+00:00|Stand-in Attack Weapon (SiAW)|First quarter 2024 sales increased due to ramp-up on the Stand-in Attack Weapon (SiAW) program, contributing to a 3% sales growth.
Merck & Co., Inc.|MRK|2024-04-25 00:00:00+00:00|WINREVAIR|A significant new product in the cardiometabolic space for adults with pulmonary arterial hypertension, a progressive and debilitating disease.
THERMO FISHER SCIENTIFIC INC.|TMO|2024-04-24 00:00:00+00:00|Thermo Scientific™ Dionex™ Inuvion™ Ion Chromatography system, LInspector™ Edge In-line Mass Profilometer, TruScan™ G3 Handheld Raman Analyzer, Axiom™ PangenomiX Array|Launched a range of high-impact, innovative new products including analytical instruments for water contaminant identification, battery safety, chemical compound identification, an
ServiceNow, Inc.|NOW|2024-04-24 00:00:00+00:00|StarCoder2|A family of open-access LLMs for code generation released by ServiceNow, NVIDIA, and Hugging Face, with new telco-specific GenAI solutions introduced in partnership with NVIDIA.
AT&T INC.|T|2024-04-24 00:00:00+00:00|AT&T Internet Air|Recent launch of AT&T Internet Air contributed to positive broadband net adds for Consumer Wireline segment.
INTUITIVE SURGICAL INC|ISRG|2024-04-18 00:00:00+00:00|da Vinci 5|Intuitive CEO mentioned positive feedback from the da Vinci 5 launch, emphasizing continued adoption of SP and Ion, focusing on improving patient outcomes.
ABBOTT LABORATORIES|ABT|2024-04-17 00:00:00+00:00|Protality™|A new high-protein nutrition shake by Abbott to support weight loss while maintaining muscle mass.
AMAZON COM INC|AMZN|2024-04-10 00:00:00+00:00|Amazon Q|Amazon launched Amazon Q, described as the most capable coding assistant, to assist developers in their coding tasks.
INTUITIVE SURGICAL INC|ISRG|2024-03-14 00:00:00+00:00|da Vinci 5|Intuitive announced the FDA clearance of its fifth-generation robotic system, da Vinci 5, and will discuss its features, benefits, and launch plans in a teleconference on March 18,
GE Vernova Inc.|GEV|2024-03-08 00:00:00+00:00|GE Aerospace|GE Aerospace is set to launch in the beginning of the second quarter of 2024 as part of GE's strategic move to form independent companies. It will focus on innovation, customer-cen
LOWES COMPANIES INC|LOW|2024-02-27 00:00:00+00:00|DIY loyalty program|Launched first-of-its-kind DIY loyalty program.
MERCADOLIBRE INC|MELI|2024-02-22 00:00:00+00:00|Meli+|The relaunch of the loyalty program introduced MELI Delivery Day (MDD), offering subscribers free shipping on items from around $6, boosting item delivery and purchase numbers.
REGENERON PHARMACEUTICALS, INC.|REGN|2024-02-02 00:00:00+00:00|EYLEA HD|EYLEA HD was launched in August 2023, impacting EYLEA volumes in the fourth quarter as patients transitioned to the new product.
THERMO FISHER SCIENTIFIC INC.|TMO|2024-01-31 00:00:00+00:00|Thermo Scientific™ Orbitrap™ Astral™ mass spectrometer, Applied Biosystems™ QuantStudio™ Absolute Q™ AutoRun dPCR System, Thermo Scientific™ Metrios™ 6 S/TEM, FDA-cleared assays for risk assessment and clinical management of preeclampsia, Gibco™ CTS™ Detachable Dynabeads™, Thermo Scientific™ Meridian™ EX System, Thermo Scientific™ Aquanex™ Ultrapure Water Purification System|The company launched a range of high-impact, innovative new products including mass spectrometer, dPCR system, assays for preeclampsia, electron-beam-based solution for defect loca
ABBOTT LABORATORIES|ABT|2024-01-24 00:00:00+00:00|Amplatzer, Amulet, Navitor, TriClip, AVEIR|Strong sales growth driven by recently launched products and new indications in various medical device segments.
ServiceNow, Inc.|NOW|2024-01-24 00:00:00+00:00|Now Assist in Virtual Agent, flow generation, and Now Assist for Field Service Management|ServiceNow expanded its Now Assist generative AI portfolio with new offerings for Virtual Agent, flow generation, and Field Service Management, achieving significant ACV contributi
CrowdStrike Holdings, Inc.|CRWD|2023-11-28 00:00:00+00:00|CrowdStrike Falcon® Go|Launched CrowdStrike Falcon® Go on Amazon Business Marketplace to meet the needs and budgets of small-to-midsize business (SMB) customers.
ABBOTT LABORATORIES|ABT|2023-10-18 00:00:00+00:00|Amplatzer Amulet, Navitor, TriClip, AVEIR|Strong performance driven by recently launched products and new indications in the Medical Devices segment.
